param MaxActivity :=
EU 2030 MAT_SUP_COB 481790.20
EU 2030 MAT_SUP_COP 5356443.00
EU 2030 MAT_SUP_DYS 10934.21
EU 2030 MAT_SUP_LIT 326679.00
EU 2030 MAT_SUP_NEO 70431.04
EU 2030 MAT_SUP_NIC 1728085.00
EU 2030 MAT_SUP_PRA 10047.93
EU 2030 MAT_SUP_TER 2206.81
EU 2040 MAT_SUP_COB 1268295.23
EU 2040 MAT_SUP_COP 8489599.91
EU 2040 MAT_SUP_DYS 12041.485
EU 2040 MAT_SUP_LIT 907266.81
EU 2040 MAT_SUP_NEO 97107.511
EU 2040 MAT_SUP_NIC 4487995.88
EU 2040 MAT_SUP_PRA 15683.9411
EU 2040 MAT_SUP_TER 2581.6515
EU 2050 MAT_SUP_COB 1898172.00
EU 2050 MAT_SUP_COP 11785548.00
EU 2050 MAT_SUP_DYS 28432.69
EU 2050 MAT_SUP_LIT 1318264.00
EU 2050 MAT_SUP_NEO 139385.70
EU 2050 MAT_SUP_NIC 6036613.00
EU 2050 MAT_SUP_PRA 22163.85
EU 2050 MAT_SUP_TER 5891.10
;












